title,score,synopsis,genres,episodes,characters
Ijigen no Sekai El Hazard,76,Gran equilibrio entre acción y desarrollo de personajes (76.0).,"Action, Drama, Sci-Fi",1.0,"Togusa, Batou, Daisuke Aramaki, Nakamura, Motoko Kusanagi, Ishikawa, Project 2501"
X,53,Gran equilibrio entre acción y desarrollo de personajes (53.0).,"Action, Mecha, Sci-Fi",2.52,"Shiro Amada, Aina Sahalin, Karen Joshua, Eledore Massis, Michel Ninorich, Terry Sanders Jr., Ginias Sahalin, Norris Packard, Kiki Rosita, Yuri Kellarny, Bjorn Abust, Baresto Rosita, Dell, Chibi, Maria, Hige, Barry, Arth, Jidan Nickard, Mike, Rob, Kojima, Ethan Ryer, Cynthia, Noppo"
Saiyuuki RELOAD GUNLOCK,82,Excelente experiencia; animación y banda sonora destacadas (82.0).,"Drama, Mecha, Psychological, Sci-Fi",23.91,"Soprano, Choutarou, Nezumi Kid, Clyde, Shiine, Muura Maasa, Chacha, Piisuke, Urara, Mosuke, Elizabeth, Dorothy, Oyuki, Mary, Ka Zandan, Pikapon, Mayachon, Rascal, Sorges, Yordas, Haideyansu, Genius, Marine, Barabaraman, GauGau"
Kannazuki no Miko,73,Excelente experiencia; animación y banda sonora destacadas (73.0).,"Action, Drama, Sports",26.98,"Teo, Garcia, Nei, Westa, Jupiter, Leila Ashley, Volk, Cecil, Speedy"
Strange Dawn,79,Gran equilibrio entre acción y desarrollo de personajes (79.0).,"Action, Comedy, Mecha, Romance, Sci-Fi",3.32,"Taiki, Aoi Koga, Mitsuki Kouyama, Izumi Rio, Madoka Wakamatsu, Takuto Kira, Meroko Yui, Fuzuki Koyama, Kumi, Keiichi Wakaouji, Masami Ooshige, Jonathan, Eichi Sakurai"
BECK,68,Gran equilibrio entre acción y desarrollo de personajes (68.0).,"Adventure, Drama, Mecha, Sci-Fi",12.38,"Lieza Flora Meruno, Kukuru Lill Wight, Elk Kowalapule, Clive, Arc Eda Ricolne, Shu, Poco, Pandit"
Vandread: the second stage,64,Sorprendente de principio a fin; superó mis expectativas (64.0).,"Action, Drama, Mystery, Supernatural",38.3,"Former Rosa Gigantea, Shimako Toudou, Mami Yamaguchi, Yamamura-sensei, Rei Hasekura, Miyuki Oyamada, Mifuyu Uzawa, Yumi Fukuzawa, Katsura, Sachiko Ogasawara, Chisato Tanuma, Tomoko, Sei Satou, Eriko Torii, Tsutako Takeshima, Suguru Kashiwagi, Minako Tsukiyama, Youko Mizuno, Yoshino Shimazu, Shiori Kubo, Yuuki Fukuzawa, Shizuka Kanina, Academy Principal, Seiko Kasuga, Sasaki"
X (TV),61,Sorprendente de principio a fin; superó mis expectativas (61.0).,"Action, Comedy, Drama, Supernatural",24.92,"Van Fanel, Allen Schezar, Dilandau Albatou, Chid Ouji, Chesta, Hitomi Kanzaki, Folken Fanel, Merle, Dryden Fassa, Gaddes, Millerna Sara Aston, Naria, Varie Fanel, Zongi, Jajuka, Balgus Ganesha, Mogura Otoko, Eriya, Dornkirk, Shikikan, Plaktu"
Tenshi na Konamaiki,73,Sorprendente de principio a fin; superó mis expectativas (73.0).,"Adventure, Comedy, Drama, Fantasy, Mecha, Sci-Fi",25.75,"Masataka Takayanagi, Mitsuomi Takayanagi, Masahiro Sanada, Bob Makihara, Souichirou Nagi, Maya Natsume, Aya Natsume, Chiaki Kounoike, Dan Inosato, Bunshichi Tawara, Ishimatsu, Kagesada Sugano, Makiko Nagi, Shin Natsume, Emi Isuzu, Tsutomu Ryuuzaki, Shinobu Kagurazaka, Mana Kuzunoha, Dougen Takayanagi, Wu-Tan, Shiro Tagami, Kaima Natsume, Chiein Fuu, Yoshiki Satou, Furio Suko"
AKIRA,80,Sorprendente de principio a fin; superó mis expectativas (80.0).,"Action, Romance, Supernatural",11.99,"Bart Garsus, Duelo McFile, Buzam A. Calessa, Ezra Vieil, Jura Basil Elden, Parfet Balblair, Meia Gisborn, Paiway Underberg, Barnette Orangello, Hibiki Tokai, Dita Liebely, Rabat, Pyoro, Gascogne Rheingau, Misty Cornwell, Magno Vivian"
Scrapped Princess,60,Historia atrapante y bien ejecutada. Repetiría sin dudar (60.0).,"Action, Adventure, Fantasy",23.78,"Astral, King Fabris, Sharon, Mew, Nina, Delta, Hide, Maria, Stallion, Rita, Kaiser, Wortoshika, Karta, Ariadne, Menza, Tessio, Silvanna"
Corrector Yui,70,Excelente experiencia; animación y banda sonora destacadas (70.0).,"Action, Drama",44.5,"Sagi, Minato Namikaze, Kimimaro Kaguya, Genzou, Genma Shiranui, Shigure, Shibire, Orochimaru, Sazanami, Kuromaru, Zabuza Momochi, Akamaru, Guruko, Naruto Uzumaki, Sasuke Uchiha, Gaara, Hiruzen Sarutobi, Shibi Aburame, Ebisu, Itachi Uchiha, Rasa, Kakashi Hatake, Mizuki Touji, Seimei, Tenten"
Mahou Sensei Negima!,79,Excelente experiencia; animación y banda sonora destacadas (79.0).,"Drama, Romance, Slice of Life, Supernatural",100.87,"Freeze, Control, Takashi Fuji, Virus, Shinichi Kasuga, Anti, Eco, Sakura Kasuga, IR, Ai Shinozaki, Rescue, Manami Sayama, Synchro, Yui Kasuga, Grosser, Mototsugu Inukai, Follow, Jaggy, Akiko Yanagi, Haruna Kisaragi, Reiko Kannonzaki"
SHUFFLE!,69,Excelente experiencia; animación y banda sonora destacadas (69.0).,"Comedy, Romance, Slice of Life",27.31,"Ethan Pelerin, Lady Mad-thane, Alex Row, Claus Valca, Vincent Alzey, Mullin Shetland, Hurricane Hawk, Lavie Head, Sophia Forrester, Alvis E. Hamilton, Tatiana Wisła, Alister Agrew, Wina Lightning, Delphine Eraclea, Holly Mad-thane, Anthony Kostabi, Ralph Wednesday, Hamilcar Valca, Dio Eraclea, Dunya Scheer, Lucciola, Charles Knowles, Henry Knowles, Gale Frank, Georges Head"
Samurai 7,60,Gran equilibrio entre acción y desarrollo de personajes (60.0).,"Adventure, Comedy, Drama, Fantasy, Mecha, Sci-Fi",26.74,"Togusa, Batou, Daisuke Aramaki, Nakamura, Motoko Kusanagi, Ishikawa, Project 2501"
Uchuu no Stellvia,64,Gran equilibrio entre acción y desarrollo de personajes (64.0).,"Adventure, Comedy, Fantasy, Psychological",43.54,"Sayoko Mishima, Skuld, Senbei, Lind, Sora Hasegawa, Toshiyuki Aoshima, Belldandy, Urd, Keiichi Morisato, Otaki Aoyama, Megumi Morisato, Ex, Toraichi Tamiya, Koshian, Chrono, Marller, Ere"
Gakuen Alice,77,Sorprendente de principio a fin; superó mis expectativas (77.0).,"Comedy, Romance",12.35,"Celica Yayoi, Accela Warrick, Rose Anderson, Roy Revant, Miranda Maverick, Silvia Ban, Mie, Integra Martel, Will, Kasha Maverick, John Kimberlin, Ashley Lynx, Solty Revant, Yuto K. Steel, Chuu Hou, Larry Anderson, Andy Anderson"
Shin Kidou Senki Gundam Wing,56,Muy recomendado: ritmo sólido y personajes entrañables (56.0).,Romance,25.56,"Pierrot Bolneze, Monica Adenauer, Megumi Kimura, Takumi Tsubozuka, Katsuo Umino, Yuuko Motohashi, Sophie Balzac Kirisaki, Go Chimatsuri, Narumi Shizuto, Sylvan Kirisaki, Miki Norihei, Shigeru Kanmuri, Ryou Kuroyanagi, Inaho Azuma, Ken Matsushiro, Leonhart XIV, Haijima, Masanobu Tsutsumi, Brad Kidd, Yuuichi Kirisaki, Spencer Henry, Kyousuke Kawachi, Kazuma Azuma, Kaede Matsushiro, Tsukino Azusagawa"
BOYS BE ...,68,Historia atrapante y bien ejecutada. Repetiría sin dudar (68.0).,"Action, Adventure, Fantasy, Supernatural",7.05,"Sara Mudou, Rosiel, Katan, Yue Katou, Setsuna Mudou, Sakuya Kira, Alexiel, Adam Kadmon, Metatron, Arachne, Sevothtarte, Kurai, Belial, Ruri Saiki"
Shin Shirayuki-hime Densetsu Pretear,64,Excelente experiencia; animación y banda sonora destacadas (64.0).,"Action, Comedy, Hentai, Sci-Fi",49.54,"Ai Amano, Youta Moteuchi, Moemi Hayakawa, Takashi Niimai, Gokuraku no Aruji, Rolex"
TRIGUN,82,Sorprendente de principio a fin; superó mis expectativas (82.0).,"Action, Adventure, Drama, Mecha, Romance, Sci-Fi",13.62,"Ume, Eiko Magami, Shiko Kotobuki, Biko Daitokuji, Captain Napolipolita, Mari, D, Asa, Ine, Ayumi Azuchi, Apple-tai no Pilot"
Shin Shirayuki-hime Densetsu Pretear,80,Excelente experiencia; animación y banda sonora destacadas (80.0).,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",1.56,"Shiro Amada, Aina Sahalin, Karen Joshua, Eledore Massis, Michel Ninorich, Terry Sanders Jr., Ginias Sahalin, Norris Packard, Kiki Rosita, Yuri Kellarny, Bjorn Abust, Baresto Rosita, Dell, Chibi, Maria, Hige, Barry, Arth, Jidan Nickard, Mike, Rob, Kojima, Ethan Ryer, Cynthia, Noppo"
Kono Minikuku mo Utsukushii Sekai,53,Muy recomendado: ritmo sólido y personajes entrañables (53.0).,"Action, Adventure, Drama, Mecha, Romance, Sci-Fi",23.75,"Makoto Shishio, Touma Sakaki, Kamatari Honjou, Shougo Amakusa, Yumi Komagata, Yahiko Myojin, Sanosuke Sagara, Tsubaki, Yutarou Tsukayama, Tae Sekihara, Tsubame Sanjou, Kenshin Himura, Arundo Akamatsu, Jinei Udoh, Megumi Takani, Gasuke, Kanryuu Takeda, Jinpuu, Shirojou, Iwanbou, Soujirou Seta, Hajime Saitou, Daigoro Okuma, Shura, Souzou Sagara"
Aa! Megami-sama! (TV),62,Historia atrapante y bien ejecutada. Repetiría sin dudar (62.0).,"Action, Drama, Mecha, Sci-Fi",12.91,"Mutsumi Otohime, Naru Narusegawa, Keitarou Urashima, Nyamo Naamo, Motoko Aoyama, Kaolla Suu, Shinobu Maehara, Sachiyo Matsumoto, Sarah McDougal, Ken Akamatsu, Kimiaki Shirai, Mitsune Konno, Haruka Urashima, Seta Noriyasu, Emi Ichikawa, Mei Narusegawa, Kentarou Sakata, Masayuki Haitani, Kikuko Onoue"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,80,Sorprendente de principio a fin; superó mis expectativas (80.0).,"Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",13.4,"Chiyochichi, Kimura, Tomo Takino, Kagura, Koyomi Mizuhara, Yukari Tanizaki, Ayumu Kasuga, Minamo Kurosawa, Sakaki, Kaori, Chihiro, Chiyo Mihama, Yuka, Masaaki Ooyama, Miruchi, Kimura no Tsuma, Kamineko, Maya, Tadakichi-san, Nekokoneko"
Shinpi no Sekai El Hazard (TV),54,Sorprendente de principio a fin; superó mis expectativas (54.0).,"Comedy, Drama, Fantasy, Mystery",12.21,"Ayu Tateishi, Kaji Tetsushi, Maya Orihara, Hiroki Tsujiai, Nina Sakura, Nina's Grandfather, Rio, Luna, The Principal, Yuta Kirishima, Jun Kawanakajima, Tamura-sensei, Mikami-sensei, Persocom no Koe, Kyoushi, Onnanoko A, Onnanoko B, Homestay Saki Mama, Sakana-Ya no Tenshuu, Otoko, Onna, Oji-san, Kodomo, Akiho, Satomi"
Love Hina Again,61,Muy recomendado: ritmo sólido y personajes entrañables (61.0).,"Action, Horror, Mystery, Romance, Supernatural",25.79,"Mutsumi Otohime, Akiko Taichi, Naru Narusegawa, Keitarou Urashima, Motoko Aoyama, Yashuhara Maehara, Mitsune Konno, Kaolla Suu, Shinobu Maehara, Sarah McDougal, Ken Akamatsu, Kimiaki Shirai, Kentarou Sakata, Masayuki Haitani, Haruka Urashima, Kikuko Onoue, Mei Narusegawa, Seta Noriyasu, Sachiyo Matsumoto, Tamago Onsen, Emi Ichikawa"
Rizelmine,65,Excelente experiencia; animación y banda sonora destacadas (65.0).,"Action, Adventure, Fantasy",3.13,"Shinsuke, Nagamitsu Sakonshougen, Mugen, Fuu Kasumi, Heitarou Kawara, Moronobu Hishikawa, Hotaru, Kagetoki Kariya, Shino, Bundai, Yatsuha Imano, Ginsa Momochi, Shiren, Yamane, Shoryuu, Yuri, Okuru, Umanosuke, Otawa Hankichi, Xavier III, Jin, Rikiei Nagatomi, Yukimaru, Sousuke Kawara, Isaac Kitching"
Kenpuu Denki Berserk,71,Muy recomendado: ritmo sólido y personajes entrañables (71.0).,"Action, Comedy, Sports",26.06,"Albedo Piazzolla, chaos, Wilhelm, Juli Mizrahi, KOS-MOS, Jin Uzuki, Gaignun Kukai Jr., Mary Godwin, Shelly Godwin, Luis Virgil, Febronia, Matthews, Nephilim, MOMO Mizrahi, Gaignun Kukai, Shion Uzuki, Pellegri, Joachim Mizrahi, Ziggurat-8, 99 Series Obversational Realian model"
Denei Shoujo VIDEO GIRL AI,60,Excelente experiencia; animación y banda sonora destacadas (60.0).,"Comedy, Ecchi, Romance, Slice of Life",26.58,"Sagi, Minato Namikaze, Kimimaro Kaguya, Genzou, Genma Shiranui, Shigure, Shibire, Orochimaru, Sazanami, Kuromaru, Zabuza Momochi, Akamaru, Guruko, Naruto Uzumaki, Sasuke Uchiha, Gaara, Hiruzen Sarutobi, Shibi Aburame, Ebisu, Itachi Uchiha, Rasa, Kakashi Hatake, Mizuki Touji, Seimei, Tenten"
Kareshi Kanojo no Jijou,61,Historia atrapante y bien ejecutada. Repetiría sin dudar (61.0).,"Comedy, Drama, Romance, Slice of Life",49.36,"Rakushun, Taiki, Kouya, Riyou, Shoukei, Ikuya Asano, Gyousou Saku, Enki, Sanshi Haku, Sekki, Youko Nakajima, Chuuchin, Gaishi, Youka, Keiki, Shouryuu, Shoukou, Risai, Gyokuyou, Aozaru, Kantai, Ribi, Shushou, Yuka Sugimoto, Suzu Ooki"
Maburaho,70,Excelente experiencia; animación y banda sonora destacadas (70.0).,"Drama, Romance, Slice of Life",26.34,"Namiko, Ayumi Kubota, Shouta no Haha, Miki Sakashita, Eiichi Katakura, Sofu, Satsuki Katakura, Kokoro Tokunaga, Kazuhiro Tsuchiya, Miki no Chichi, Kippei Katakura, Yuzuyu Sakashita, Reiko Katakura, Mai Motoki, Etsuko, Kana, Nattsu, Kokoro no Haha, Misako Katakura, Yuzuyu no Papa, Shin Tabata, Marika, Ken, Enchou-sensei, Itsumi"
Vandread: the second stage,71,Muy recomendado: ritmo sólido y personajes entrañables (71.0).,"Action, Adventure, Comedy, Drama, Fantasy",74.18,"Mizuki Agatsuma, Tomokazu Mikuri, Neneko, Nanase Senjou, Kuyou Senjou, Mister Ishikari, Mone, Neito, Head of the Family, Tomoko Mikuri"
Kamikaze Kaitou Jeanne,58,Historia atrapante y bien ejecutada. Repetiría sin dudar (58.0).,"Comedy, Drama, Sci-Fi, Sports",5.4,"Sagi, Minato Namikaze, Kimimaro Kaguya, Genzou, Genma Shiranui, Shigure, Shibire, Orochimaru, Sazanami, Kuromaru, Zabuza Momochi, Akamaru, Guruko, Naruto Uzumaki, Sasuke Uchiha, Gaara, Hiruzen Sarutobi, Shibi Aburame, Ebisu, Itachi Uchiha, Rasa, Kakashi Hatake, Mizuki Touji, Seimei, Tenten"
Mezzo Forte,69,Muy recomendado: ritmo sólido y personajes entrañables (69.0).,"Adventure, Drama, Mecha, Sci-Fi",26.47,"Kuroneko, Milly Thompson, Vash the Stampede, Rem Saverem, Zazie the Beast, Marilyn Nebraska, Legato Bluesummers, Nicholas D. Wolfwood, Rai-Dei the Blade, Midvalley the Hornfreak, Kaite, Meryl Stryfe, Brilliant Dynamites Neon, Knives Millions, Monev the Gale, E.G. Mine, Chapel the Evergreen, Descartes, Lina, Mary, Dominique the Cyclops, Hoppered the Gauntlet, Jessica, Leonof the Puppet-Master, Cliff Schezar"
Mezzo Forte,71,Excelente experiencia; animación y banda sonora destacadas (71.0).,"Drama, Horror, Mystery, Psychological, Thriller",12.63,"Kissu, Zenon, Beet, Poala, Beltoze, Milfa, Grunide, Slade"
Pia Carrot e Youkoso!!,56,Muy recomendado: ritmo sólido y personajes entrañables (56.0).,"Action, Drama, Ecchi, Mystery, Psychological, Supernatural",1.0,"Suigintou, Souseiseki, Shinku, Jun Sakurada, Suiseiseki, Hina Ichigo, Tomoe Kashiwaba, Matsu Shibasaki, Motoharu Shibasaki, Nori Sakurada, Detective Kun-Kun"
Speed Grapher,77,Muy recomendado: ritmo sólido y personajes entrañables (77.0).,"Action, Adventure, Horror, Psychological, Sci-Fi, Supernatural",1.0,"Jerid Messa, Mineva Zabi, Kamille Bidan, Henken Bekkener, Amuro Ray, Yazan Gable, Reccoa Londe, Haman Karn, Mouar Pharoah, Four Murasame, Sarah Zabiarov, Bright Noa, Char Aznable, Paptimus Scirocco, Kai Shiden, Bask Om, Emma Sheen, Jamaican Daninghan, Katz Hawin, Hayato Kobayashi, Beltorchika Irma, Kacricon Cacooler, Kikka Kitamoto, Haro, Letz Cofan"
ONE PIECE,82,Historia atrapante y bien ejecutada. Repetiría sin dudar (82.0).,"Comedy, Ecchi, Fantasy, Romance",12.48,"Miki Moriya, Yurika Meno, Shizuka Masuda, Akane Mizuhara, Haruki Mukasa, Ryou Mizuhara, Emiho Mutsu"
Lodoss-tou Senki,53,Sorprendente de principio a fin; superó mis expectativas (53.0).,"Action, Drama, Fantasy, Horror, Sci-Fi, Supernatural",50.71,"Kouhei Oguri, Takumi Kusaka, Yosuke Kadomatsu, Masayuki Kikuchi, Saburou Umezu"
Kidou Senshi Gundam 0083: STARDUST MEMORY,68,Gran equilibrio entre acción y desarrollo de personajes (68.0).,"Adventure, Drama, Fantasy, Supernatural",25.63,"Masakazu Tougou, Kouriyama, Eri Sawachika, Pyotr, Lala Gonzalez, Yakumo Tsukamoto, Junko Tonami, Genkai Gotou, Kouji Yakushamaru, Kenji Harima, Tenma Tsukamoto, Tae Anegasaki, Itoko Osakabe, Akira Takano, Kazuya Tanaka, Mikoto Suou, Tsumugi Yuuki, Jirou Yoshidayama, Kentarou Nara, Harry McKenzie, Fuyuki Takeichi, Oji Karasuma, Megumi Sagano, Karen Ichijou, Sarah Adiemus"
Mahou Shoujo Lyrical Nanoha A's,68,Muy recomendado: ritmo sólido y personajes entrañables (68.0).,"Comedy, Drama, Fantasy, Mahou Shoujo, Romance",1.0,"Yamato Minazuki, Maron Kusakabe, Claude Noin, Access Time, Chiaki Nagoya, Myst, Miyako Toudaiji, Finn Fish, Koron Kusakabe"
Macross Zero,63,Muy recomendado: ritmo sólido y personajes entrañables (63.0).,"Action, Adventure, Comedy, Fantasy",1.94,"Mizuki Agatsuma, Tomokazu Mikuri, Neneko, Nanase Senjou, Kuyou Senjou, Mister Ishikari, Mone, Neito, Head of the Family, Tomoko Mikuri"
Pia Carrot e Youkoso!!,55,Excelente experiencia; animación y banda sonora destacadas (55.0).,"Action, Adventure, Comedy, Drama, Fantasy, Mahou Shoujo, Mystery, Romance, Supernatural",24.44,"Bart Garsus, Duelo McFile, Buzam A. Calessa, Meia Gisborn, Ezra Vieil, Jura Basil Elden, Parfet Balblair, Paiway Underberg, Barnette Orangello, Hibiki Tokai, Dita Liebely, Rabat, Pyoro, Gascogne Rheingau, Magno Vivian"
Aa! Megami-sama! (TV),62,Gran equilibrio entre acción y desarrollo de personajes (62.0).,"Action, Comedy, Ecchi",101.41,"Kiba, Darcia III, Tsume, Fukurou, Darcia I, Leara, Harmona, Jagara, Cheza, Iyek, Toboe, Cher Degre, Quent Yaiden, Hige, Zali, Blue, Rou Ookami, Cole, Hubb Lebowski, Myuu, Neige, Moss, Dakkan-tai Taichou, Bartender, Hebitsukai-onna"
Sakigake!! Cromartie Koukou,83,Gran equilibrio entre acción y desarrollo de personajes (83.0).,"Action, Adventure, Fantasy, Horror, Sci-Fi",50.52,"Momomi Momoi, Hirooka, Tomohisa Harada, Mikura Suzuki, Momokitchi Momoi, Kenichi Kurokawa"
Bouken Ou Beet,79,Sorprendente de principio a fin; superó mis expectativas (79.0).,"Action, Adventure, Fantasy",13.31,"Masataka Takayanagi, Mitsuomi Takayanagi, Masahiro Sanada, Bob Makihara, Souichirou Nagi, Maya Natsume, Aya Natsume, Chiaki Kounoike, Dan Inosato, Bunshichi Tawara, Ishimatsu, Kagesada Sugano, Makiko Nagi, Shin Natsume, Emi Isuzu, Tsutomu Ryuuzaki, Shinobu Kagurazaka, Mana Kuzunoha, Dougen Takayanagi, Wu-Tan, Shiro Tagami, Kaima Natsume, Chiein Fuu, Yoshiki Satou, Furio Suko"
BOYS BE ...,60,Excelente experiencia; animación y banda sonora destacadas (60.0).,"Action, Drama, Horror, Mystery, Supernatural",25.87,"Nia, Thanast Useim Ruki Miu Sia Nostal Ren Naguregyug, Mitsuka Yoshimine, Neneko Izumi, Hikorou Oikawa, Ren Ren Ren Nagusaran Rensia Ruroonren Nakora, Hirofumi Nonaka, Khi, Eiko, Xaki, Rubi, Takeya Ikuhara, China, B-Ko, Natsuki Ikuhara, Mr. Oihiko, Mrs Oihiko, Harumi Ikuhara, Uncle, Class President, Uchimura, No.2, No.3"
Aa! Megami-sama!,58,Muy recomendado: ritmo sólido y personajes entrañables (58.0).,"Adventure, Comedy, Drama, Supernatural",25.91,"Gon Freecss, Hisoka Morow, Wing, Abengane, Ging Freecss, Genthru, Franklin Bordeaux, Nickes, Senritsu, Eeta, Biscuit Krueger, Kortopi, Killua Zoldyck, Kurapika, Kozufutoro, Shalnark Ryuseih, Feitan Portor, Shizuku Murasaki, Leorio Paradinight, Phinks Magcub, Milluki Zoldyck, Machi Komacine, Tsezguerra, Battera, Puhat"
Black Cat,65,Muy recomendado: ritmo sólido y personajes entrañables (65.0).,"Adventure, Comedy, Fantasy, Mahou Shoujo, Romance",23.77,"Alexander Howell, Kagami Mikage, Chidori Kuruma, Tooya, Shiso Mikagi, Kyu Oda, Miori Sahara, Yuuhi Aogiri, Aki Mikage, Ceres, Aya Mikage, Suzumi Aogiri, Wei Fei Li, Gladys Smithson, Shuro Tsukasa"
Samurai Champloo,69,Muy recomendado: ritmo sólido y personajes entrañables (69.0).,"Action, Adventure, Comedy, Fantasy",51.41,"Tsubasa Shiina, Miyuki Sakurai, Kou Kazamatsuri, Shigeki Satou, Katsurou Shibusawa, Yuki Kojima, Akira Saionji, Daichi Fuwa, Tatsuya Mizuno, Seiji Fujishiro, Teppei Koiwa, Soujuu Matsushita, Takashi Narumi, Shigeru Mamiya, Yuuto Wakana, Taki Sugihara, Naoki Inoue, Ryouichi Tenjou, Souichirou Kirihara, Shou Kazamatsuri, Kazuma Sanada, Eishi Kaku, Masato Takai, Masaki Kurogawa, Tougo Amemiya"
Shin Seiki Evangelion,53,Muy recomendado: ritmo sólido y personajes entrañables (53.0).,"Action, Drama, Sci-Fi",26.3,"Masakazu Tougou, Kouriyama, Eri Sawachika, Pyotr, Lala Gonzalez, Yakumo Tsukamoto, Junko Tonami, Genkai Gotou, Kouji Yakushamaru, Kenji Harima, Tenma Tsukamoto, Tae Anegasaki, Itoko Osakabe, Akira Takano, Kazuya Tanaka, Mikoto Suou, Tsumugi Yuuki, Jirou Yoshidayama, Kentarou Nara, Harry McKenzie, Fuyuki Takeichi, Oji Karasuma, Megumi Sagano, Karen Ichijou, Sarah Adiemus"
Hikaru no Go,70,Sorprendente de principio a fin; superó mis expectativas (70.0).,"Comedy, Drama, Fantasy, Supernatural",1.0,"Koboshi Uematsu, Misha, Sasha, Kotarou Higuchi, Shia, Takashi Ayanokouji, Kaoru Mitarai, Nyaa, Hiroshi Mitarai, Shino Higuchi"
Tennis no Ouji-sama,58,Excelente experiencia; animación y banda sonora destacadas (58.0).,"Action, Comedy, Sports",18.25,"Mutsumi Otohime, Akiko Taichi, Naru Narusegawa, Keitarou Urashima, Motoko Aoyama, Yashuhara Maehara, Mitsune Konno, Kaolla Suu, Shinobu Maehara, Sarah McDougal, Ken Akamatsu, Kimiaki Shirai, Kentarou Sakata, Masayuki Haitani, Haruka Urashima, Kikuko Onoue, Mei Narusegawa, Seta Noriyasu, Sachiyo Matsumoto, Tamago Onsen, Emi Ichikawa"
Shinpi no Sekai El Hazard,55,Sorprendente de principio a fin; superó mis expectativas (55.0).,"Action, Drama, Mystery, Sci-Fi",61.46,"Honey Kisaragi, Scarlet Claw, Natsuko Aki, Shitsuji, Seiji Hayami, Sister Jill, Black Claw, Cobalt Claw, Gold Claw, Destroy Panther, Rinko Terada, Scope Panther, Tokimura, Mikami, Mayumi Takahashi, Mannen Kakarichou, Kyouko Izumiya"
Kono Minikuku mo Utsukushii Sekai,68,Historia atrapante y bien ejecutada. Repetiría sin dudar (68.0).,"Comedy, Romance, Slice of Life",12.8,"Keisuke Takahashi, Daiki Ninomiya, Natsuki Mogi, Takumi Fujiwara, Seiji Iwaki, Tomoyuki Tachi, Kouichirou Iketani, Kenji, Kazumi Akiyama, Kyoko Iwase, Ryousuke Takahashi, Toushiya Joushima, Tooru Suetsugu, Kenta Nakamura, Shuichi Matsumoto, Yuuichi Tachibana, Kyouichi Sudou, Sakamoto, Wataru Akiyama, Bunta Fujiwara, Itsuki Takeuchi, Sakai, Kouzou Hoshino, Hiroshi Fumihiro, Nobuhiko Akiyama"
Rozen Maiden: Träumend,76,Historia atrapante y bien ejecutada. Repetiría sin dudar (76.0).,"Comedy, Drama, Romance, Slice of Life",1.0,"Sayaka Takai, Azusa Hinomori, Tomomi Aizawa, Kouji Maeda, Akemi Hasegawa"
Samurai 7,78,Historia atrapante y bien ejecutada. Repetiría sin dudar (78.0).,"Drama, Mecha, Sci-Fi",13.27,"Yzak Joule, Haro, Ezalia Joule, Murrue Ramius, Athrun Zala, Kira Yamato, Natarle Badgiruel, Flay Allster, Lacus Clyne, Reverend Malchio, George Allster, Rau Le Creuset, Miriallia Haw, Mu La Flaga, Andrew Waltfeld, Sai Argyle, Uzumi Nara Athha, Cagalli Yula Athha, Eileen Canaver, Muruta Azrael, Tolle Koenig, Shani Andras, Haruma Yamato, Clotho Buer, Dearka Elsman"
Zipang,79,Sorprendente de principio a fin; superó mis expectativas (79.0).,"Action, Adventure, Drama, Fantasy",26.57,"Ume, Eiko Magami, Shiko Kotobuki, Biko Daitokuji, Captain Napolipolita, Mari, D, Asa, Ine, Ayumi Azuchi, Apple-tai no Pilot"
Power Stone,73,Muy recomendado: ritmo sólido y personajes entrañables (73.0).,"Action, Drama",25.21,"Lieza Flora Meruno, Kukuru Lill Wight, Elk Kowalapule, Clive, Arc Eda Ricolne, Shu, Poco, Pandit"
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,67,Muy recomendado: ritmo sólido y personajes entrañables (67.0).,"Adventure, Fantasy, Sci-Fi",24.05,"Spike Spiegel, Ein, Faye Valentine, Lee Samson, Judy, Jet Black, Vincent Volaju, Edward Wong Hau Pepelu Tivrusky IV, Captain, Bull, Electra Ovilo, Punch, Bob, Rasheed, Renji, Harris, Lylie Kisha, Old Lady, Steve, Cashier, Kottouhinya Tenshu, Colonel, Jobim, Antonio, Carlos"
Kareshi Kanojo no Jijou,55,Historia atrapante y bien ejecutada. Repetiría sin dudar (55.0).,"Drama, Mecha, Sci-Fi",26.01,"Chiyochichi, Kimura, Tomo Takino, Kagura, Koyomi Mizuhara, Yukari Tanizaki, Ayumu Kasuga, Minamo Kurosawa, Sakaki, Kaori, Chihiro, Chiyo Mihama, Yuka, Masaaki Ooyama, Miruchi, Kimura no Tsuma, Kamineko, Maya, Tadakichi-san, Nekokoneko"
Kidou Senshi Gundam Double Zeta,69,Excelente experiencia; animación y banda sonora destacadas (69.0).,Romance,51.97,"Mutsumi Otohime, Haruka Urashima, Naru Narusegawa, Keitarou Urashima, Kuro, Motoko Aoyama, Kanako Urashima, Kentarou Sakata, Mitsune Konno, Masayuki Haitani, Mei Narusegawa, Kaolla Suu, Moé, Shinobu Maehara, Sarah McDougal, Kimiaki Shirai, Tamago Onsen, Seta Noriyasu"
